name,price,in_stock
9 Volt Battery,1,true
Drill Bit,1,true
Drop Cloth,2,true
Electrical Box - 1 Gang,1,true
Electrical Box - 2 Gang,1,true
Electrical Box - 4 in Round,3,true
Electrical Box - 4 in Square,3,true
Electrical Box Cover - 4 in Round,2,true
Electrical Box Cover - 4 in Square,2,true
Joist Hanger - 2x6,2,true
Joist Hanger - 2x8,2,true
Light Switch,3,true
Light Switch Cover,1,true
Outlet,3,true
Outlet Cover - 1 Gang,1,true
Outlet Cover - 2 Gang,1,true
NEMA Right Angle Plug,12,true
NEMA 5-20 Plug Straight,12,true
Romex 12/2 - 10ft,5,true
Screw Bit - Phillips (x2),1,true
Screws (x10),1,true
"Spade Bit - 3/4""",5,true
Staple Gun Staples (x4 Rows),1,true
Tarp,15,true
Wire Nuts (x10),1,true
Wire Staples (x20),1,true
Sharpie,1,true
jigsaw blade (1),2,true
Paint Roller Cover,1,true
Belt Sander Belt,7,true
Caulk (1),3,true
L Bracket,5,true
Paint Brush,2,true
Lamp Holder,12,true
Saw Blade,1,true
